year,school_id,student_id,mother_educ,father_educ,gender,computer,internet,math,read,science,stu_wgt,desk,room,dishwasher,television,computer_n,car,book,wealth,escs,achievement,country_ARE,country_ARG,country_AUS,country_AUT,country_BEL,country_BGR,country_BIH,country_BLR,country_BRA,country_BRN,country_CAN,country_CHE,country_CHL,country_COL,country_CRI,country_CZE,country_DEU,country_DNK,country_DOM,country_ESP,country_EST,country_FIN,country_FRA,country_GBR,country_GEO,country_GRC,country_HKG,country_HRV,country_HUN,country_IDN,country_IRL,country_ISL,country_ISR,country_ITA,country_JOR,country_JPN,country_KAZ,country_KOR,country_KSV,country_LBN,country_LTU,country_LUX,country_LVA,country_MAC,country_MAR,country_MDA,country_MEX,country_MKD,country_MLT,country_MNE,country_MYS,country_NLD,country_NOR,country_NZL,country_PAN,country_PER,country_PHL,country_POL,country_PRT,country_QAT,country_QAZ,country_QCI,country_QMR,country_QRT,country_ROU,country_RUS,country_SAU,country_SGP,country_SRB,country_SVK,country_SVN,country_SWE,country_TAP,country_THA,country_TUR,country_UKR,country_URY,country_USA,country_VNM
2018,800002,800251,4,4,1,1,1,490.187,375.984,445.039,13.51452,1,1,,3+,1,2,0,-0.0996,0.6747,437.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,800402,2,2,1,1,1,462.464,434.352,421.731,13.51452,1,1,,1,1,2,1,-0.7221,-0.7566,439.5156666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,801902,2,2,0,0,0,406.949,359.191,392.223,9.50669,1,1,,1,0,0,0,-3.6051,-2.5112,386.12100000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,803546,2,2,1,0,0,482.501,425.131,515.942,13.51452,1,0,,0,0,1,0,-7.0376,-3.1843,474.5246666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,804776,2,4,1,1,1,459.804,306.028,328.261,13.51452,1,1,,2,1,0,1,-1.8375,-1.7557,364.6976666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,804825,2,2,0,1,1,367.165,352.271,284.263,9.50669,1,1,,1,1,1,1,-0.8964,-1.4855,334.5663333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,804983,4,2,0,1,1,411.192,412.724,486.595,9.50669,1,1,,3+,3+,1,2,-0.43198091437435127,-0.2808311585024054,436.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,805287,2,2,1,0,0,441.037,271.213,391.562,13.51452,0,1,,1,0,0,0,-3.3724,-3.2481,367.9373333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,805601,2,2,0,1,1,506.093,373.022,389.218,9.50669,1,1,,1,1,2,1,-0.9799,-1.7174,422.7776666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,800002,806295,4,3,0,1,1,412.011,412.048,389.048,9.50669,1,1,,3+,3+,0,2,-0.43198091437435127,-0.2808311585024054,404.36899999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
