"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
2018,"ALB","800002",800251,"ISCED 3A","ISCED 3A","male","yes","yes",490.187,375.984,445.039,13.51452,"yes","yes",NA,"3+","1","2","0-10",-0.0996,0.6747
2018,"ALB","800002",800402,"ISCED 2","ISCED 2","male","yes","yes",462.464,434.352,421.731,13.51452,"yes","yes",NA,"1","1","2","11-25",-0.7221,-0.7566
2018,"ALB","800002",801902,"ISCED 2","ISCED 2","female","no","no",406.949,359.191,392.223,9.50669,"yes","yes",NA,"1","0","0","0-10",-3.6051,-2.5112
2018,"ALB","800002",803546,"ISCED 2","ISCED 2","male","no","no",482.501,425.131,515.942,13.51452,"yes","no",NA,"0","0",NA,"0-10",-7.0376,-3.1843
2018,"ALB","800002",804776,"ISCED 2","ISCED 3A","male","yes","yes",459.804,306.028,328.261,13.51452,"yes","yes",NA,"2","1","0","11-25",-1.8375,-1.7557
2018,"ALB","800002",804825,"ISCED 2","ISCED 2","female","yes","yes",367.165,352.271,284.263,9.50669,"yes","yes",NA,"1","1",NA,"11-25",-0.8964,-1.4855
2018,"ALB","800002",804983,NA,NA,"female",NA,NA,411.192,412.724,486.595,9.50669,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"ALB","800002",805287,"ISCED 2","ISCED 2","male","no","no",441.037,271.213,391.562,13.51452,"no","yes",NA,"1","0","0","0-10",-3.3724,-3.2481
2018,"ALB","800002",805601,"ISCED 2","ISCED 2","female","yes","yes",506.093,373.022,389.218,9.50669,"yes","yes",NA,"1","1","2","11-25",-0.9799,-1.7174
2018,"ALB","800002",806295,NA,NA,"female",NA,NA,412.011,412.048,389.048,9.50669,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"ALB","800003",801174,"ISCED 3A","ISCED 3A","female","no","no",504.49,426.085,491.192,6.50492,"yes","yes",NA,"2","0",NA,"0-10",-2.541,-1.5617
2018,"ALB","800003",801782,"ISCED 2","ISCED 3A","female","no","no",444.111,404.316,449.547,6.50492,"yes","yes",NA,"1","0","0","11-25",-2.9522,-1.9952
2018,"ALB","800003",802572,"ISCED 2","ISCED 3A","female","yes","no",456.959,409.369,462.125,6.50492,"yes","yes",NA,"2","1","0","26-100",-2.2811,-1.679
2018,"ALB","800003",802883,"ISCED 2","ISCED 3A","female","yes","no",463.673,395.244,458.486,6.50492,"yes","yes",NA,"2","1","2","0-10",-0.9903,-1.1337
2018,"ALB","800004",800345,NA,NA,"male",NA,NA,280.437,264.194,266.662,6.64198,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"ALB","800004",801742,NA,NA,"female",NA,NA,352.956,357.074,437.117,6.64198,NA,NA,NA,NA,NA,NA,NA,NA,NA
